"El Cerrito del Norte","6400 Cutting Blvd.,  El Cerrito,  CA,  94530","Match","Exact","6400 CUTTING BLVD, EL CERRITO, CA, 94530","-122.31769,37.92577","607816857","R","06","013","386000",""
"Downtown Berkeley","2160 Shattuck Avenue,  Berkeley,  CA,  94704","Match","Exact","2160 SHATTUCK AVE, BERKELEY, CA, 94704","-122.268005,37.86997","124994043","R","06","001","422900",""
"El Cerrito Plaza","6699 Fairmount Avenue,  El Cerrito,  CA,  94530","Match","Exact","6699 FAIRMOUNT AVE, EL CERRITO, CA, 94530","-122.29825,37.901974","607832949","L","06","013","389100",""
"South Hayward","28601 Dixon Street,  Hayward,  CA,  94544","No_Match"
"North Berkeley","1750 Sacramento Street,  Berkeley,  CA,  94702","Match","Exact","1750 SACRAMENTO ST, BERKELEY, CA, 94702","-122.28243,37.87362","606129075","R","06","001","422200",""
"Bay Fair (San Leandro)","15242 Hesperian Blvd.,  San Leandro,  CA,  94578","No_Match"
"19th St. Oakland","1900 Broadway,  Oakland,  CA,  94612","Match","Exact","1900 BROADWAY, OAKLAND, CA, 94612","-122.26904,37.80789","606178831","R","06","001","402900",""
"San Bruno","1151 Huntington Avenue,  San Bruno,  CA,  94066","Match","Exact","1151 HUNTINGTON AVE, SAN BRUNO, CA, 94066","-122.41669,37.63837","617233444","L","06","081","604102",""
"24th St. Mission (SF)","2800 Mission Street,  San Francisco,  CA,  94110","Match","Exact","2800 MISSION ST, SAN FRANCISCO, CA, 94110","-122.41844,37.752113","192288352","R","06","075","020900",""
"South San Francisco","1333 Mission Road,  South San Francisco,  CA,  94080","Match","Exact","1333 MISSION RD, SOUTH SAN FRANCISCO, CA, 94080","-122.446754,37.66696","624283339","L","06","081","601601",""
"Pittsburg/Bay Point","1700 West Leland Road,  Pittsburg,  CA,  94565","Match","Exact","1700 W LELAND RD, PITTSBURG, CA, 94565","-121.95187,38.016487","192098658","R","06","013","355200",""
"West Oakland","1451 7th Street,  Oakland,  CA,  94607","Match","Exact","1451 7TH ST, OAKLAND, CA, 94607","-122.29552,37.805473","124995407","L","06","001","402200",""
